employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Peraton,3.6,Information Technology,Information Technology Support Services,2017,$5 to $10 billion (USD),Data Scientist- Mid,"Herndon, VA",146K,234K,"$190,000",/yr (Employer est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"(USA) Staff, Data Scientist","Sunnyvale, CA",143K,286K,"$214,500",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),AI/ML Wireless Systems Engineer,"Cupertino, CA",139K,257K,"$197,700",/yr (Employer est.)
Palo Alto Networks,4.1,Information Technology,Enterprise Software & Network Solutions,2005,$1 to $5 billion (USD),Principal Machine Learning Engineer (NLP),"Santa Clara, CA",147K,215K,"$180,950",/yr (Employer est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD),"Machine Learning Software Engineer, Lead","Arlington, VA",121K,275K,"$198,100",/yr (Employer est.)
Zillow,3.9,Information Technology,Internet & Web Services,2005,$1 to $5 billion (USD),Senior Data Scientist,Remote,147K,235K,"$191,000",/yr (Employer est.)
INTEL,4.1,Information Technology,Computer Hardware Development,1968,$10+ billion (USD),Information Security Data Scientist,"Hillsboro, OR",145K,217K,"$180,906",/yr (Employer est.)
Cohere Health,3.3,Information Technology,Computer Hardware Development,2019,Unknown / Non-Applicable,"Manager, Machine Learning","Boston, MA",195K,195K,"$195,000",/yr (Employer est.)
Virta Health,3.0,Healthcare,Health Care Services & Hospitals,2014,$25 to $100 million (USD),Senior Data Scientist,Remote,165K,213K,"$189,043",/yr (Employer est.)
Adobe,4.3,Information Technology,Computer Hardware Development,1982,$10+ billion (USD),Machine Learning Engineer,"San Jose, CA",135K,251K,"$193,050",/yr (Employer est.)
UiPath,4.0,Information Technology,Enterprise Software & Network Solutions,2005,Unknown / Non-Applicable,Senior Applied Scientist,"Bellevue, WA",162K,244K,"$202,975",/yr (Employer est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),Senior Generative-AI Software Engineer,"Santa Clara, CA",144K,270K,"$207,125",/yr (Employer est.)
Machinify,4.1,Information Technology,Software Development,2016,Unknown / Non-Applicable,Data Scientist | Healthcare Data,California,170K,250K,"$210,000",/yr (Employer est.)
Uber,3.9,Information Technology,Internet & Web Services,2009,$10+ billion (USD),Sr Machine Learning Engineer - GenAI,"San Francisco, CA",185K,185K,"$185,000",/yr (Employer est.)
"Summit Therapeutics Sub, Inc.",4.3,,,,,Principal Statistical Analyst,"Menlo Park, CA",175K,200K,"$187,500",/yr (Employer est.)
NinjaTech AI,3.5,,,,,Software Development Engineer - Autonomous AI Agents,"Mountain View, CA",165K,200K,"$182,500",/yr (Employer est.)
Snapchat,3.7,Information Technology,Computer Hardware Development,2011,Unknown / Non-Applicable,"Machine Learning Engineer, 5+ Years Experience","Los Angeles, CA",172K,257K,"$214,500",/yr (Employer est.)
Agtonomy,5.0,,,,Unknown / Non-Applicable,Software Engineer - Machine Learning and Infrastructure,"South San Francisco, CA",160K,220K,"$190,000",/yr (Employer est.)
SAP,4.3,Information Technology,Enterprise Software & Network Solutions,1972,$10+ billion (USD),Expert AI/ML Applied Scientist - Generative AI and Knowledge Graph,"Palo Alto, CA",158K,220K,"$186,584",/yr (Glassdoor est.)
State Street,3.5,Financial Services,Investment & Asset Management,1792,$10+ billion (USD),"IT Asset Management Data Architect, VP","Quincy, MA",140K,223K,"$181,250",/yr (Employer est.)
Pinterest,3.9,Information Technology,Internet & Web Services,2010,$100 to $500 million (USD),"Staff Machine Learning Engineer, Applied Science (Recommendation Systems)","San Francisco, CA",153K,221K,"$183,906",/yr (Glassdoor est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Artificial Intelligence (AI) Platform Architect,United States,134K,257K,"$195,200",/yr (Employer est.)
IBM,4.1,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),Technical Sales Engineer- Data and AI Information Architecture,"Chicago, IL",162K,244K,"$203,000",/yr (Employer est.)
Adobe,4.3,Information Technology,Computer Hardware Development,1982,$10+ billion (USD),Senior Applied Scientist,"San Jose, CA",151K,284K,"$217,550",/yr (Employer est.)
Atlassian,4.0,Information Technology,Software Development,2002,Unknown / Non-Applicable,Principal Machine Learning Scientist at Loom,"San Francisco, CA",155K,208K,"$179,757",/yr (Glassdoor est.)
Hatch IT,5.0,,,2013,Unknown / Non-Applicable,AI Research Engineer,"San Francisco, CA",160K,250K,"$205,000",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Business Modeling - Applied AI ML Lead,"Columbus, OH",147K,260K,"$203,625",/yr (Employer est.)
FICO,4.0,Information Technology,Computer Hardware Development,1956,Unknown / Non-Applicable,"Principal Backend Engineer (C++, Python, AI/ML)",United States,147K,231K,"$189,000",/yr (Employer est.)
Splunk,3.9,Information Technology,Enterprise Software & Network Solutions,2003,$1 to $5 billion (USD),"Legal Counsel, Data Protection - Commercial Legal",California,184K,253K,"$218,500",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),MFG Data SW Development Engineer,"Sunnyvale, CA",170K,240K,"$205,000",/yr (Employer est.)
Connect Staffing and Consulting,4.4,Human Resources & Staffing,Staffing & Subcontracting,,Unknown / Non-Applicable,Senior Data & ML Scientist (NYC | Remote),"New York, NY",160K,250K,"$205,000",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Data Science Manager,"Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
"NextDeavor, Inc.",4.5,,,,Unknown / Non-Applicable,"Data Scientist, Product Insights","San Francisco, CA",90.00,105.63,$97.81,/hr (Employer est.)
Revolution Medicines,4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,,$1 to $5 million (USD),Associate Principal Statistical Analyst,"Redwood City, CA",175K,210K,"$192,500",/yr (Employer est.)
Lyft,3.6,Information Technology,Computer Hardware Development,2012,Unknown / Non-Applicable,Data Scientist - Central Market Management,"San Francisco, CA",166K,211K,"$187,493",/yr (Glassdoor est.)
Hewlett Packard,4.1,Information Technology,Computer Hardware Development,1939,Unknown / Non-Applicable,Senior Product Manager- AI Software,"Palo Alto, CA",144K,222K,"$182,700",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"AIML - Machine Learning Engineer (Knowledge Extraction), Siri and Information Intelligence","Seattle, WA",132K,243K,"$187,400",/yr (Employer est.)
Coinbase,3.7,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable,"Senior Software Engineer, Machine Learning - Platform",Remote,181K,213K,"$196,563",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Sr. Machine Learning Engineer,"Palo Alto, CA",147K,260K,"$203,625",/yr (Employer est.)
Autodesk,4.3,Information Technology,Enterprise Software & Network Solutions,1982,$5 to $10 billion (USD),"Principal Software Engineer, Data Pipelines - Generative AI","Boston, MA",161K,260K,"$210,475",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Artificial Intelligence (AI) Software Engineer,"Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
ZoomInfo Technologies LLC,3.8,Information Technology,Software Development,2007,$1 to $5 billion (USD),Manager Machine Learning/Data Science,"Waltham, MA",170K,220K,"$195,000",/yr (Employer est.)
TikTok,3.4,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,Machine Learning Engineer - Data Recommendation (Capcut)- San Jose,"San Jose, CA",137K,280K,"$208,400",/yr (Employer est.)
Bolt Biotherapeutics,5.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,,Unknown / Non-Applicable,"Principal, Statistical Programming ~ SAS","Redwood City, CA",160K,200K,"$180,000",/yr (Employer est.)
Intuit,4.4,Information Technology,Software Development,1983,$10+ billion (USD),Group Manager - Software Engineering (Fullstack-AI/ML),"Mountain View, CA",187K,210K,"$197,768",/yr (Glassdoor est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),"Lead Data Scientist, Retail Supply Chain","Woonsocket, RI",124K,247K,"$185,786",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Applied Machine Learning Manager,"Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
Gopuff,2.9,Retail & Wholesale,Convenience Stores,2013,Unknown / Non-Applicable,Senior Data Scientist - Advertising Technology (AdTech),United States,148K,248K,"$197,550",/yr (Employer est.)
Splunk,3.9,Information Technology,Enterprise Software & Network Solutions,2003,$1 to $5 billion (USD),Sr. Technical Marketing Manager - Splunk AI (Remote),Colorado,159K,219K,"$189,050",/yr (Employer est.)
Adobe,4.3,Information Technology,Computer Hardware Development,1982,$10+ billion (USD),Senior Machine Learning Engineer,"San Jose, CA",151K,284K,"$217,550",/yr (Employer est.)
Simplelogix,3.9,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,VP of Data Science,Remote,170K,210K,"$190,000",/yr (Employer est.)
Credit Karma,4.3,Management & Consulting,Research & Development,2007,Unknown / Non-Applicable,Staff Data Scientist,"Oakland, CA",157K,210K,"$181,394",/yr (Glassdoor est.)
TSMC,3.1,Manufacturing,Electronics Manufacturing,1987,$10+ billion (USD),Data Scientist (5400),"San Jose, CA",150K,230K,"$190,000",/yr (Employer est.)
zvelo,3.9,Information Technology,Internet & Web Services,,Unknown / Non-Applicable,Senior AI Engineer,Oregon,160K,200K,"$180,000",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),Machine Learning Systems Engineer,"Sunnyvale, CA",173K,249K,"$211,000",/yr (Employer est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"(USA) Staff, Data Scientist - Ad. Tech.","Sunnyvale, CA",143K,286K,"$214,500",/yr (Employer est.)
Samsung Electronics,3.6,Information Technology,Computer Hardware Development,1938,$10+ billion (USD),GPU Performance Engineer,"Austin, TX",144K,257K,"$200,841",/yr (Employer est.)
"Upstart Network, Inc.",3.7,Financial Services,Banking & Lending,2012,Unknown / Non-Applicable,"Manager, Machine Learning",United States,175K,242K,"$208,450",/yr (Employer est.)
MCG Health,4.7,Healthcare,Health Care Services & Hospitals,1988,Unknown / Non-Applicable,Staff Data Scientist,"Seattle, WA",153K,219K,"$186,150",/yr (Employer est.)
Orbis,4.0,Human Resources & Staffing,Staffing & Subcontracting,2013,$25 to $100 million (USD),Senior Machine Learning Engineer,"San Jose, CA",170K,190K,"$180,000",/yr (Employer est.)
Prowess Consulting,4.2,Management & Consulting,Business Consulting,2003,$5 to $25 million (USD),Artificial Intelligence (AI) Analyst (hybrid),"Bellevue, WA",75.00,120.00,$97.50,/hr (Employer est.)
GoGuardian,2.7,Information Technology,Internet & Web Services,2014,Unknown / Non-Applicable,Data Scientist IV,Remote,200K,220K,"$210,000",/yr (Employer est.)
Agero,3.2,Information Technology,Information Technology Support Services,1972,$500 million to $1 billion (USD),Principal Machine Learning Engineer,"San Francisco, CA",150K,215K,"$182,500",/yr (Employer est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Lead Data Scientist,"New York, NY",136K,268K,"$202,009",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Software Engineer, Audio Applied Scientist - Reality Labs","Redmond, WA",177K,251K,"$214,004",/yr (Employer est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),"Senior Solutions Architect, Machine Learning","Durham, NC",144K,270K,"$207,125",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"AIML - Applied ML Engineer, Health AI","Seattle, WA",132K,243K,"$187,400",/yr (Employer est.)
"Advanced Micro Devices, Inc",4.1,Information Technology,Computer Hardware Development,1969,$10+ billion (USD),Principal Machine Learning Compiler Engineer,"San Jose, CA",172K,217K,"$193,244",/yr (Glassdoor est.)
TikTok,3.4,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,"Machine Learning Engineer - Data Curation - AIGC, TikTok Monetization GenAI","Seattle, WA",138K,238K,"$187,625",/yr (Employer est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),"Solutions Architect, AI & ML Infrastructure","Redmond, WA",144K,224K,"$184,125",/yr (Employer est.)
ManTech,4.3,Aerospace & Defense,Aerospace & Defense,1968,$1 to $5 billion (USD),Artificial Intelligence (AI) Systems/Tools Engineer/Administrator III,"Denver, CO",152K,254K,"$202,800",/yr (Employer est.)
Qualcomm,4.0,Information Technology,Computer Hardware Development,1985,$10+ billion (USD),ML/AI Logic Design Engineer,"Austin, TX",148K,222K,"$185,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"Applied Scientist, Natural Language Generation, Input Experience","Seattle, WA",152K,268K,"$210,300",/yr (Employer est.)
Indeed,4.2,Information Technology,Internet & Web Services,2004,$1 to $5 billion (USD),Staff Data Scientist - Matching Science,Remote,164K,238K,"$201,000",/yr (Employer est.)
NewsBreak,2.8,Information Technology,Internet & Web Services,2015,Unknown / Non-Applicable,"Machine Learning Engineer, NLP","Mountain View, CA",130K,260K,"$195,000",/yr (Employer est.)
Integral Ad Science,3.9,Information Technology,Internet & Web Services,2009,$100 to $500 million (USD),Staff Data Scientist,"San Francisco, CA",135K,232K,"$183,388",/yr (Employer est.)
Hewlett Packard,4.1,Information Technology,Computer Hardware Development,1939,Unknown / Non-Applicable,Machine Learning Engineer,"Spring, TX",144K,222K,"$182,700",/yr (Employer est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),Developer Advocate - Data Science,"Santa Clara, CA",140K,276K,"$208,000",/yr (Employer est.)
Leidos,3.8,Aerospace & Defense,Aerospace & Defense,1969,$10+ billion (USD),Data Strategist - IRAD,Remote,144K,261K,"$202,575",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Machine Learning Operations Engineer,"Cupertino, CA",171K,257K,"$213,600",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Lead Applied Machine Learning Scientist,"Palo Alto, CA",147K,260K,"$203,625",/yr (Employer est.)
d-Matrix,5.0,,,,Unknown / Non-Applicable,AI Platform Applications Engineer - Tech Lead,"Santa Clara, CA",161K,260K,"$210,500",/yr (Employer est.)
Publicis Sapient,3.7,Management & Consulting,Business Consulting,1990,Unknown / Non-Applicable,"Director, Artificial Intelligence (AI) Product Management","Chicago, IL",162K,243K,"$202,500",/yr (Employer est.)
MixMode,5.0,Information Technology,Enterprise Software & Network Solutions,2012,Unknown / Non-Applicable,Sr. Machine Learning Engineer,Remote,160K,210K,"$185,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Data Scientist,"Cupertino, CA",139K,257K,"$197,700",/yr (Employer est.)
Palo Alto Networks,4.1,Information Technology,Enterprise Software & Network Solutions,2005,$1 to $5 billion (USD),Principal Software Engineer in Test (AI/ML Strata Cloud Service),"Santa Clara, CA",144K,233K,"$188,700",/yr (Employer est.)
Pharmavite LLC,4.4,Manufacturing,Consumer Product Manufacturing,1971,$1 to $5 billion (USD),"Manager, Data Science","West Hills, CA",161K,241K,"$200,900",/yr (Employer est.)
TE Connectivity,3.7,Manufacturing,Electronics Manufacturing,2007,$10+ billion (USD),Senior Commercial Counsel - Data & Devices Business Unit (Remote),"Middletown, PA",192K,241K,"$216,540",/yr (Employer est.)
Jiffy.AI,3.7,Information Technology,Enterprise Software & Network Solutions,2019,Unknown / Non-Applicable,Principal Software Engineer (AI),"San Francisco, CA",177K,242K,"$206,691",/yr (Glassdoor est.)
